RecordId,FirstName,LastName,Sex,BirthDate,SocialSecurityNumber,PostalCode,Department,VisitReason
45d2543b-42ad-4d4f-8fe7-8a3cceb50500,Harry,Danvers,Male,1974-09-04,251-29-2287,10754,Intensive Care Unit,Battle Injury
130f7288-6b31-4ce1-9d6a-ba525677da19,Oliver,Parker,Female,1952-11-07,031-12-3583,10238,Emergency Department,Battle Injury
b9c1c9d5-aa2d-4a2f-bf8f-e879bbd3b46f,Monica,Grimm,Female,1969-10-11,460-76-4558,10828,Emergency Department,Alien Parasite Removal
a0c1d995-a0e4-4cdd-a951-5ba2e097295f,Sue,Sif,Female,1974-12-06,160-28-5515,10104,Intensive Care Unit,Laser Vision Calibration
858d860c-2454-4566-b93a-f4b1d721ea89,Arthur,Drax,Female,2004-02-29,271-06-7528,10549,Intensive Care Unit,Laser Vision Calibration
cc7fe124-7869-4117-a4da-e2a37b23a06a,Hal,Selvig,Female,2006-05-26,634-47-9460,10196,Intensive Care Unit,Power Malfunction
82cdbb49-d074-4a55-a1df-e6d848de2ad5,Curt,Murdock,Female,1957-02-27,877-30-1655,10389,Super Powers Rehabilitation,Routine Super Physical
e52c929c-47b5-45f8-8d0b-03075dbc1846,Harry,Mantis,Male,1983-03-19,364-27-4375,10718,Intensive Care Unit,Villain Encounter Trauma
02256334-c589-4c67-839c-2b5e3c051d00,Harry,Wagner,Male,1964-08-29,474-49-4423,10947,Surgery Department,Telepathy Headache
c7906942-86a7-4c43-b153-d8c9a294fd26,Bruno,Bahadir,Male,1970-07-20,843-05-5169,10410,Super Powers Rehabilitation,Cosmic Ray Exposure
2be2a578-ef0c-43de-89f0-51b8ff1f628e,Luke,Potts,Female,1969-01-28,673-64-6483,10905,Alien Biology Department,Alien Parasite Removal
cb2e39f5-e7d3-48c6-9b25-4b6ca76ef559,Pietro,Howlett,Male,2000-05-12,552-34-9578,10438,Cosmic Ray Treatment Center,Telepathy Headache
95ed34e9-f4ff-4cc0-861f-da875b5940bc,Danny,Howlett,Female,1958-02-26,775-07-1797,10156,Trauma Center,Laser Vision Calibration
41da800b-d008-4fa6-bf5d-7689a0e72d88,Ned,Banner,Female,1984-03-27,611-60-8670,10257,Emergency Department,Cosmic Ray Exposure
e0ed15e3-e0a4-4c91-8d6b-ac1c67103831,Cletus,Woo,Female,2007-07-04,349-15-4809,10445,Trauma Center,Routine Super Physical
8f824249-dfce-40b3-a6d2-86859ee2542a,Bruce,Storm,Female,1994-11-29,782-23-8318,10934,Intensive Care Unit,Flight Control Issue
ae328f1a-e05f-420f-a04e-f8ce5c4e25ac,Harry,Lang,Male,1963-09-18,383-98-2647,10552,Emergency Department,Villain Encounter Trauma
4958650f-9773-487f-939b-6d22e1c73529,Wong,VanDyne,Male,1960-01-14,372-40-3924,10059,Surgery Department,Villain Encounter Trauma
c6165398-a937-4234-ad59-b47ab487d024,Hal,Jordan,Female,1956-03-17,780-69-2061,10131,Alien Biology Department,Battle Injury
47533af2-1273-4e0b-a762-234a0eb3760f,Kurt,Maximoff,Female,1969-01-01,553-97-3296,10730,Super Powers Rehabilitation,Laser Vision Calibration
be9b6510-c3a2-4982-bdbd-a41a67206189,Max,Octavius,Female,1989-04-21,530-58-1983,10253,Surgery Department,Cosmic Ray Exposure
8ac56a33-c681-42ed-bde0-7865882bcd9f,Rocket,Prince,Male,2002-10-17,226-01-1164,10724,Emergency Department,Strength Enhancement Surgery
ab18d519-e96b-4124-81ed-888f7a1ec1ce,Bruce,Stark,Female,1956-05-10,527-31-4563,10685,Alien Biology Department,Strength Enhancement Surgery
f01f295c-90e5-488d-8784-89fc27ca6a32,Darcy,Wilson,Female,1971-10-20,805-61-6670,10194,Intensive Care Unit,Cosmic Ray Exposure
95bfe3e8-a466-4a86-8213-041b87076d65,Curt,Valkyrie,Female,1988-01-01,421-60-0888,10689,Intensive Care Unit,Power Malfunction
31bc358f-7355-4c06-bdf5-a46fca331a94,Odin,Richards,Female,1959-10-21,255-25-3117,10549,Alien Biology Department,Alien Parasite Removal
11517798-789d-46ff-8d93-c737e70c1a90,Sif,Drake,Female,1991-07-04,256-10-7261,10827,Intensive Care Unit,Power Malfunction
20a6a16c-66cf-4b79-b016-09f43a846ce8,Otto,Lewis,Male,1958-05-15,773-31-2725,10416,Alien Biology Department,Routine Super Physical
b694aadf-edb9-4601-be00-234bfbffcba0,Luke,Borson,Male,1964-10-08,389-01-6397,10271,Alien Biology Department,Flight Control Issue
2d4eddf5-ba71-4c82-9fe4-c4cefa2d2f72,Sif,Storm,Female,1963-11-21,195-38-3567,10991,Emergency Department,Villain Encounter Trauma
84d3c1cf-c6a1-4d7d-9c5e-eae8d9bc5757,Alicia,Lewis,Male,1978-02-19,059-07-9572,10488,Trauma Center,Power Malfunction
