RecordId,FirstName,LastName,Sex,BirthDate,SocialSecurityNumber,PostalCode,MedicationType,PrescriptionType
d47a4dfd-8c79-42c3-bf9f-b5e7643769eb,Shuri,Mantis,Male,1982-02-06,216-88-4089,10682,Invisibility Serum,Emergency Use
02ada3db-a8b5-4833-8004-2dac09094db8,Reed,Grey,Male,1983-02-15,597-71-2427,10440,Power Suppressant,Post-Battle Recovery
2b9a26de-02c1-4b4f-bc8d-306db5e6817d,Carol,Barnes,Male,1982-05-18,184-39-0232,10725,Mutation Stabilizer,Chronic Power Management
55da8689-d642-4b8e-b58c-e03ed1a541b3,Ned,Banner,Female,1984-03-27,611-60-8670,10257,Flight Stabilizer,Daily Maintenance
3d5f2386-97fa-4cbe-b26e-5b8e1c502613,Max,Octavius,Female,1989-04-21,530-58-1983,10253,Flight Stabilizer,Preventive Care
7237544b-c0fb-447e-a082-3472f05e4cec,Bobby,Rhodes,Female,2006-12-13,835-63-1495,10481,Super Serum,Post-Battle Recovery
e4263551-7c95-4857-9fbf-739c37cfb41a,Heimdall,Dillon,Female,1965-08-12,631-73-4931,10415,Super Serum,Experimental Treatment
fcd5012d-2492-4a09-b5d4-6b7e00050882,Bruce,Borson,Female,1956-08-24,591-81-0879,10155,Super Serum,Pre-Mission Prep
fdc18b8b-717e-411d-acea-d5003af9259a,Darcy,Carter,Female,1955-08-03,212-54-6382,10926,Invisibility Serum,Chronic Power Management
44a3e11f-a244-4b81-aad4-7a423d2a9e1c,Nick,Lewis,Female,2004-11-16,828-84-8667,10008,Flight Stabilizer,Chronic Power Management
af940ef6-850a-4daf-b40f-afdcd08500d1,Barbara,Wingfoot,Male,1967-03-09,222-95-7934,10283,Telepathy Blocker,Experimental Treatment
ec70cd98-89a9-4e6a-9b47-cad3940e72de,Franklin,T'Challa,Female,1986-08-22,335-52-4845,10567,Invisibility Serum,Post-Battle Recovery
5f3d491c-b953-4f0a-9a1d-b6a9c5c2af64,Otto,Banner,Male,1952-10-13,254-26-0334,10636,Invisibility Serum,Pre-Mission Prep
bc3d4103-5b41-4154-b823-adc998287a9c,Arthur,Drax,Female,2004-02-29,271-06-7528,10549,Telepathy Blocker,Post-Battle Recovery
5c291287-388e-4b9e-8974-58d227e8df2f,Hank,Khan,Female,1954-07-04,571-32-1989,10467,Super Vitamin Complex,Pre-Mission Prep
8d56ac32-be0e-4efa-899c-5131fab05298,Pietro,Howlett,Male,2000-05-12,552-34-9578,10438,Super Serum,Chronic Power Management
1aa68e6b-7521-49ce-ac6b-43bd20401661,Ororo,Masters,Female,1999-06-30,724-55-9190,10009,Telepathy Blocker,Acute Power Surge
15c766a3-3b0a-4752-8fa7-a7bcce1d8a4b,Clint,Rhodes,Male,2005-07-26,084-54-9563,10578,Flight Stabilizer,Chronic Power Management
4649e5c8-57c4-4ec9-a2cd-0f702023412a,May,Prince,Female,2001-09-12,042-98-2871,10481,Power Suppressant,Chronic Power Management
5e31129a-b605-48f6-a950-e03e9ebd8207,Cletus,Woo,Female,2007-07-04,349-15-4809,10445,Healing Accelerator,Experimental Treatment
03e6900c-83c5-4011-ac19-9320a0b8ef11,Erik,Allen,Male,1950-03-29,419-58-9730,10481,Mutation Stabilizer,Experimental Treatment
856670ff-1a09-494c-88a2-33cf7d35435a,Wyatt,Masters,Male,1993-10-20,225-35-7141,10497,Flight Stabilizer,Experimental Treatment
854245b0-e2b2-4252-a265-3260ad275601,Harry,Danvers,Male,1974-09-04,251-29-2287,10754,Strength Enhancer,Acute Power Surge
a00248a1-2dd7-4006-9ba3-0c7b6891c8c4,Kamala,Heimdall,Female,1957-05-07,482-03-8838,10053,Flight Stabilizer,Preventive Care
b2c3f77c-784d-4da8-89c5-747be48dab06,Max,Kurt,Female,1989-09-15,628-93-8271,10436,Invisibility Serum,Acute Power Surge
61289c93-2cf5-464e-935f-afe1006cbc7d,Matt,Wilson,Female,1990-09-25,073-88-3825,10946,Energy Boost Formula,Post-Battle Recovery
c55ef0bd-1f88-4777-b652-53ad1370f0c0,Curt,Murdock,Female,1957-02-27,877-30-1655,10389,Super Vitamin Complex,Preventive Care
9387a790-76be-4a57-a74e-bb684e6cfbe5,Curt,Valkyrie,Female,1988-01-01,421-60-0888,10689,Energy Boost Formula,Preventive Care
e7629ecb-5c12-492a-ba74-c156e569f815,Rocket,Dillon,Female,1964-10-22,862-60-2092,10637,Power Suppressant,Acute Power Surge
84b38604-d127-489c-8a6d-ad60774f0b1e,Peter,Connors,Male,1985-09-30,337-36-1138,10990,Invisibility Serum,Preventive Care
324e2426-5340-4780-9114-97bbd236fa02,Alicia,Curry,Male,2006-02-12,217-34-1331,10160,Telepathy Blocker,Pre-Mission Prep
9bc61abb-fb04-4cc8-a2c3-cfb2f275c718,Howard,Thompson,Male,1990-11-10,425-81-9432,10199,Invisibility Serum,Daily Maintenance
fd6e5f88-6ccd-480f-bdf7-4001a2c0a803,Eddie,Titan,Female,1967-10-17,078-76-3979,10104,Mutation Stabilizer,Acute Power Surge
5318883d-0fbe-4840-b962-18de3ca2f072,Sif,Drake,Female,1991-07-04,256-10-7261,10827,Super Serum,Experimental Treatment
4cf3262a-e989-40d3-9997-d8a63eb3420d,Stephen,Khan,Male,1950-11-02,470-80-9225,10102,Super Serum,Experimental Treatment
07431018-91e2-40de-855a-95b3bcf0c76f,Harry,Lang,Male,1963-09-18,383-98-2647,10552,Power Suppressant,Pre-Mission Prep
75b2f671-541e-4336-9c10-5cda80a40856,Thanos,Hill,Female,1976-09-04,882-76-7026,10312,Telepathy Blocker,Pre-Mission Prep
56e323aa-fd35-4aff-bf44-2fa20c8d2069,Luke,Borson,Male,1964-10-08,389-01-6397,10271,Super Serum,Experimental Treatment
0b6f329f-f81a-49e9-bf03-b4d9b507aa1e,Natasha,Maximoff,Female,1979-05-15,217-59-5356,10345,Healing Accelerator,Acute Power Surge
9d0bc17e-f843-4d44-94d5-243ff461915c,Frigga,Parker,Male,1979-10-21,803-53-4066,10273,Super Vitamin Complex,Preventive Care
72f5e243-3796-4b28-8190-2315d979c1c1,Otto,Jordan,Female,1997-11-15,390-41-7995,10893,Flight Stabilizer,Daily Maintenance
12930559-51f6-4fad-b4f3-13e78a6c945b,Betty,Banner,Male,2006-08-16,702-37-3728,10764,Super Serum,Preventive Care
0b1a9008-3937-4df2-b183-805b36594813,Arthur,Vellani,Male,1989-10-21,171-89-4907,10925,Power Suppressant,Daily Maintenance
fdcd7ca3-cb05-459f-89b3-ef74fd9a8e8a,Wong,Khan,Male,1976-04-27,368-48-7057,10149,Energy Boost Formula,Preventive Care
7e322d14-f8c3-4251-81ce-f53ec9011e91,Pepper,Kasady,Male,1965-04-02,180-11-9986,10891,Telepathy Blocker,Post-Battle Recovery
b974ef33-a62f-40ae-9ef4-fd28085779be,Hope,Rhodes,Male,1970-10-31,473-82-4162,10470,Healing Accelerator,Daily Maintenance
0616b584-da5d-4964-b8ac-259bd365acfd,Aamir,Carter,Female,1999-01-14,162-10-7238,10967,Strength Enhancer,Chronic Power Management
c9b243a3-017f-46b8-ad48-cb02abcbeb60,Harry,Sif,Female,1990-12-26,867-39-3264,10393,Invisibility Serum,Emergency Use
