RuleId,Token,RecordId
T1,uR5tw6gj2uAqSxNBV72T7zlyKCteTS5VRONmAbmU1NMtFZH7+mX9qEMUZrl6lQOdo/oxaC1Y4L7JHt9K60x/jp+axRYE+9Ve,7c443b01-f048-4df7-8f46-e3998d44a645
T2,f6HBbVu3KZcldDE3Uo0JDp1zzdtiglbrn9V44X/Q2iClRpr5Kge89Vqm1CjlgdKhwOb0xw5Lt46sDc7WJL3Jn3cmAKIsbVKw,7c443b01-f048-4df7-8f46-e3998d44a645
T3,648bnrT4/ApnmuBOUtoTfaurX+cE59t+TYiYmdZkthnqxrqbPo9EbuCTrBLGmn2tFnA923yv9QL3FdmY3r8wbJ18hyzgg46V,7c443b01-f048-4df7-8f46-e3998d44a645
T4,BALKSm4oJh0x+BaeeCzJ7vXUQCEqFAOyAmepPR3iZdbmYRd+2uDs+KoCQnX83f3rZKKSUI9YpqFX+7qpDzIkEbr15nJC1Vel,7c443b01-f048-4df7-8f46-e3998d44a645
T5,vJjaR0KbQn5Oy5L+XE3rbN+BmQQt4uW5DtaBlltn+c2vgEB8SGhOlT2oefeIy2g0yRxctBKRUufl3dBNsBZ3zb2XB25RUrIV,7c443b01-f048-4df7-8f46-e3998d44a645
T1,tFpsBcoIw2QV2NGY2fUi5tUIsBUs0nKKAMGqAqRjB6MBM3ptK8AaoT+6Cc9NiUWUSxhWJcdtyAkXj/tQOGm1wRQJ0dAQY8i5,0dbd0914-b4ed-4ca4-b85b-4460bd3358b1
T2,xzzZGi8P9lR4aJ7GB6Dr7HEOtOlyzRQyRJDPhV560SPtiHIQQOtzDY1ET04rTc++v/Of+YeN+dPBuUxl11hb2sflpVXGIX2J,0dbd0914-b4ed-4ca4-b85b-4460bd3358b1
T3,DhnBrNWKERhzCccjhXhj2f/qeZATZfnho8E9oyWjFaVa6bAZcNWJ77WlSJje+s+KskkulEJFECYYdcROtjt+EsSqBWhvmquC,0dbd0914-b4ed-4ca4-b85b-4460bd3358b1
T4,6kXUkVJmmSXncYIZGiubfEM6Ni0EPtCKQ5DZehxNE+Iz2r2/yxwqlW7zuh6onIEiw04kvaoyn+V8jLDFN+M/+MNAvcjw/GNj,0dbd0914-b4ed-4ca4-b85b-4460bd3358b1
T5,6X+zCJbHEGpt1C44bYWFtsR48Q8nMH4XJsmw+2ZPONRbzeA9wFnNeNKvIrqOOy7vPBbnq2Iqi90QqzrOmJyloCN8sNoibogw,0dbd0914-b4ed-4ca4-b85b-4460bd3358b1
T1,0z7jY6ys3DH95ao0CuCZPi1QJc9xXIzSOVAKUcHJIoyB5UfSm1j4cGMY7wmg+ZxM939GlZaeOAtvVxOLMjP4qZIJAOpVA/Wo,7d8f4054-93d3-45d1-a947-6233a671c15e
T2,JjdJJs8/Z84YaegizGbh11CBsZ2zKygbKMjVTB96dhcENpsJBjBsODQCXeqHM5riKh7JIurlzdJZN3gOdXzXRx1UsJpTTod3,7d8f4054-93d3-45d1-a947-6233a671c15e
T3,ee2UJoWvPSsXMbnWHHXaUmhREi4abAiiHboXNMqmGMXafbk2C4fG04PXDOmdwdma7ns/IJ2Nt6aqkmx+Os8f8Jg8swYpa5mP,7d8f4054-93d3-45d1-a947-6233a671c15e
T4,SIpzhLRlRpKMxt9/vRxuZG8dr6RWuhZLfFAAWa0oqznmFuf6fT4NPC1BD6kgL54V2crxe0tVbI8OjQVM9z4KPeTSvJdMKPEC,7d8f4054-93d3-45d1-a947-6233a671c15e
T5,mF9+wqBhEyw16KrQTlzXBfVRGkKRL+n7SrIE+kw4rRa3G+YML5CD2km2VNEvoHre3bgNltoQnPkosKkB/iTLojDavI+T52/5,7d8f4054-93d3-45d1-a947-6233a671c15e
T1,TLEjEVqT1kNGU6+hLtxmt39atgIzz78Nsbt3VNsCSaGm8OV676jy3AUIQxW5nLSjsJP0BPL4tKHevj84N1e4zuO+SO3eHaBh,7ecac6de-7ba8-4834-83f1-1c98d7c1562f
T2,1h2jtWUFC52PrYjUIqia6yEY8IztUkkkjYzonuKBSNmMeKlleUrV5+hp06Do/0dYLlnc5YdvD3/+cC2VColgksNF1wSaFAYz,7ecac6de-7ba8-4834-83f1-1c98d7c1562f
T3,wSCpdvG9LeJPZvPM2J6eOoJpFYYcbvbUudJLhGKmm6tNc2PssTfaRhxYg2rgR67gcfTJnEad++VOuK/mSaFDlVcGuxPEQnCC,7ecac6de-7ba8-4834-83f1-1c98d7c1562f
T4,ZwGPCi8+vOAubm34D/pX6hNg5b5kQU1PX8Ei50GWBSEtFtiMzZBl1cAcHQzrr2kb7bzcTcr1HZmR+nfDBfeTS13KC92KyGTl,7ecac6de-7ba8-4834-83f1-1c98d7c1562f
T5,xvbnmV+h2MIQsHvOfh6SAvnCwCRFWqn/EMWMo7xEM6dun5ebzCp58k3/vCB5O2B9tzEjn170NYN8kGqMW6sTgVmziNL1psXH,7ecac6de-7ba8-4834-83f1-1c98d7c1562f
T1,IAJT1CMwtV8bxdt4D7YWPSK5xcXIOWYNMlfDkG8UOhm1ZfhQcKw/Q7BgnzY/W7mbTYXAlj9t/ieEnkJPvW6oDJvzcNmOECo0,44af7076-34a6-40be-8638-6af14015bad9
T2,PeO/LHAqb69/05KvwX+mJ3/ww+pGUFw1KzhwX0VEf47BGiZAV7JM2RN2IOojHdwth0lhvxqw6TqkeuAq993JJ5LaH5qYvd/r,44af7076-34a6-40be-8638-6af14015bad9
T3,XC4j1T5f81jNfnyePzczN+//SBMDmdTt7OOMNUFLoW4G7V733XJ6+Jrmplq6aAXE87ZYsBfxcQjbTaD4A1uWx+Gq9k2MCc/X,44af7076-34a6-40be-8638-6af14015bad9
T4,IA22gCgkcEGKPq7ZdTRtUlC2J2dS4olkNPkAyKC5gt3S7ON8L57GemsOObcDwpy+PeXSIt8n8/IYQraQx5Ge9KKYSSjVYXjr,44af7076-34a6-40be-8638-6af14015bad9
T5,WfWwF/v/qAzIhOEipxLwwyMFRZ6qSTC6Y7TtGt6SBLdthHxiELelmfr77zerybxAerTr8lnpnGc7LMOOezw3mzb6pLcTIsr+,44af7076-34a6-40be-8638-6af14015bad9
T1,bt7lP+7nEYcyJhh/5XjhWAHhD12S35OG+6AztdfTGDVjRlWOcPWaAE/AB9+tRwqS68ORFLlHx9NBgi2IvqugV7a2FsqDE08x,5869ea7e-97c2-48e1-8c9d-e92d4eb746b6
T2,7Cr/XCzqJ6a8S9W/eIJ9BdNYh9qEbkDyo2v48OxKx/R1Zw4ixwXwtwwGE3puPEkVubMd52zkGo6lCTX5To6Bf998Wyd3BZQv,5869ea7e-97c2-48e1-8c9d-e92d4eb746b6
T3,sjyg08jvxUUreJMoqgRhneqv0mzvROsr9ztkRHJgldIHtKgLbGGnDqpmmS4YW6vB5BUJAwb52ZwAzNbsI2kq5R5TBxLB206O,5869ea7e-97c2-48e1-8c9d-e92d4eb746b6
T4,yDURecNu0ZEJPuMO9RuOBBQgNbL+B0G8mbxhQ6n1YSEkPmk54yhjca7pk1dLqH4MpXVbHsrfVPAjo9XELXMs8DtTH/EMj7cw,5869ea7e-97c2-48e1-8c9d-e92d4eb746b6
T5,GNfl+7S8g8waEzj+VoZ9zvtnqqvKjJ6tFL1Phkfmio+2gLtEs/OPq1wtb2e/K4ycuRhWGHc+1EuRL1mec/6GocahLmgBzMGT,5869ea7e-97c2-48e1-8c9d-e92d4eb746b6
T1,ujsBJg8Ueyo0CHTdS6mjy7acf+D6fQaFpmyjUq88Ou8kvz+Puy8+QPDcR1Td3WrJ0eyUa1fN5cOexYUh6u/mQT6p6VXNiGe+,e308afef-2a84-4a1f-8f06-d5585f3b518d
T2,n9Rcyen9RKz8PjOzbAVvCQhS6HWKl0jieL3ZGrQX3P2SgBdz889ZgeKH1Ta3RPjpFZ+pzx3UGxv2+DvYWZwd15Stxx2/B4uo,e308afef-2a84-4a1f-8f06-d5585f3b518d
T3,0tlefGJpdDsujDoHhw167Ag7WLgMuPzlM+dkN3EkDARMh7+A41c8oKaXsWvkvebL3NHdobHgF4S6j1EMzkEGQ0yDz4ZmS28t,e308afef-2a84-4a1f-8f06-d5585f3b518d
T4,t2ZmAzzolPoqbNc6LmLkx+yjXP8kYxh4+NNDn8c4dtzObVoIvF5gGOFor08afdDbEjpZ5GUAS6upBqVLvNc+f9vCY3MgJo6u,e308afef-2a84-4a1f-8f06-d5585f3b518d
T5,ApcOLVej8b7ZyHz1niOb6GIFrgNj7l1c3kks6S9HPfxhvB2R5JBE2lBcG5d/H4lNH9/TfhLvUbR36bH+nVp67spiOsDZ6dmd,e308afef-2a84-4a1f-8f06-d5585f3b518d
