RuleId,Token,RecordId
T1,kATvvTiI4YXlU08x5GqLX7l466hjxgrxdfwwyFbBMbtgIFgJcV4+71KBfLeTrU1eiAF99vkmmX0utcbfJ1YGlRnfT29uDAEl,92628717-5a41-4b04-a053-87ca62205287
T2,FMVt9m3xHKrkFevoeDxRf6ebKpz/ez15wx2q5Xv9zZSUuYv0CSa71o5m7JtpVufeulBgNZOZR167xo64s3i46qEVNejh9zlU,92628717-5a41-4b04-a053-87ca62205287
T3,pLy6hNyUQzyRNoEdC33zgr744zc7jlQ6966Kk8gqmfkLlLoXuAsdgX8vRbKj+rpdCZqasdeXJLE74QVd4w1HwiwIFC+pOM6j,92628717-5a41-4b04-a053-87ca62205287
T4,HsgZSU5nlvm1apE35Rrlb9xqc+DlPqZrEmosSQ0UYu5DhKf0RbgAoa7/LpdcfJqgLTrNUzTsTalqyLfygQ7qTus9rdxfWsw5,92628717-5a41-4b04-a053-87ca62205287
T5,QydlXSLYwxaAkXt4S6GPNT0nmlW3hPVJJFkCEm2SCjkYjhq7Cf9RAGh+ENPsT3417F3H3GffnwQL0eTs6/ywyMrmNvmluv+Q,92628717-5a41-4b04-a053-87ca62205287
T1,JPlY2QqwSwyynADQjPp7vNbXln9agH4AL3UwRq6ft9jb7pf99dtYIxNQ4yWZ040UZxRA1Zgqtqo7sqfTI/Qbiw1CtqWsIzXD,2129ad21-df65-4bfc-8db3-f1e9ecc4df91
T2,QTJoO0WORhnPy8hSj69fj9b7u2PI12Hs4oPjr1gV2hi7suo7nUmxF34bsCLDVmTYPnUDT+8/OvaHTk2Wv9Y6jHx2BP7YSL9U,2129ad21-df65-4bfc-8db3-f1e9ecc4df91
T3,oPegLzBbyavfXHGzGkUWvGn9L3G2J4Tl88bHJ4XxUrB1tb2OXGW/Kk4+3lU+/r/u7B0HWSnhrHVn6FSplCNWR3DQmmmFvOFK,2129ad21-df65-4bfc-8db3-f1e9ecc4df91
T4,jNXz/xQGwTnS6rmTc9hqg/Aq8sDMw7HTLYLxzeeUzLM8W1vyt2uQE2OC2MDaurptYTAvYgMA//IFoaYkmEHHYq217MAflHNq,2129ad21-df65-4bfc-8db3-f1e9ecc4df91
T5,vshDG3EUp4FOa9fWei6P9K+LnY6XcOfKhWCFv+EcHn8w3clMhNd3MgmPmsAR2Pt+GjO0wan5YsHr1gu4tfW8YZs5KUzfuJUk,2129ad21-df65-4bfc-8db3-f1e9ecc4df91
T1,baK3gfhXcdba7uVLggj6lmtQAPd0UY9ZuL0pwstahUV/cPllNKLoA9SopAngiAylgTXIl35MvEOCioYMovl/JZot/T/9nhYj,a2bd458a-4ca7-4b18-bc49-721c01ea2b62
T2,/HSXJsP+zeVIhgJY6y2F/drPM7BQ0gQeOwydFYp46Pxx6sqQlXfDC+6n5u1okYLTOAygxC+MeBJdTVIR/S0h6ziCQ0NVZpOn,a2bd458a-4ca7-4b18-bc49-721c01ea2b62
T3,k2TvAe9eAfKMnu3FrtF+/7Ox/EG9pGZbRdiRdDE9xjQcUSO87K3TQk9iMqJa0/Z3MCLLnXLTyo6pFp8Xkz77Fpbv6H9cdjxC,a2bd458a-4ca7-4b18-bc49-721c01ea2b62
T4,FdPVfiRd3TaQHDR3sBtHxPI5ZRgJi5Zn7hGgOUgIjzEsqJl9aUdnJ423i/4O/oS6/ZLH+cQRkxj3hz0w5Te8JaxTzzpUACgy,a2bd458a-4ca7-4b18-bc49-721c01ea2b62
T5,u7zK/WKFC32fdNBpaQz9JjfJkB6X/W5MRXe8Yuh9TJKOs4FkOirHkWWZexew5fM62uKsCrciQ4e3Yj0mFS50DYsDnw6CURsK,a2bd458a-4ca7-4b18-bc49-721c01ea2b62
T1,yNELcAnUUETe25iPuK8afEDCueRAV1dHvcNUYI7lFRVOQ/T2MldtXSzfMvDy0iYDxCXUDkq1GrpZdXT6C+IPUGl5ZWGBJtNg,30de0a34-de46-457a-8c80-86cca8d6d53d
T2,k4L9ICbA3lTBS/ldTHvLO7g5mNfib2MZEs7vUo9PiJMWWUuN4xEiInoRLn16cW5rtC4wY2lSbPTVm8G9Fg52SYzztdk5Z4fC,30de0a34-de46-457a-8c80-86cca8d6d53d
