RuleId,Token,RecordId
T1,qp4RJ0pgGXH4DZ5BJjYsmlLNHC1oXOGuo9a71naJPSQ=,891dda6c-961f-4154-8541-b48fe18ee620
T2,5mXl84IfqnLvEASqZKNID3pZt8EDe6aY4FiD5Gu8v3w=,891dda6c-961f-4154-8541-b48fe18ee620
T3,KBYKMGxX8EV3XKyYu3Elv0NH3brRwveP17JDbpScA0c=,891dda6c-961f-4154-8541-b48fe18ee620
T4,0000000000000000000000000000000000000000000000000000000000000000,891dda6c-961f-4154-8541-b48fe18ee620
T5,uoerYxyURvlgNc4SV061WJ8ww5kOkNBjYeUhOuzVnAY=,891dda6c-961f-4154-8541-b48fe18ee620
T1,ZliIUa+PLB+ezaS1Y+MSb1LXgZnnZWHEtI8+RQrasQ8=,2f97f0f1-4617-40bd-8264-4d24a9adf20a
T2,Cadikn8YP2N1YKNywaStu/sR/K2UIBotiAKIj0JyPWo=,2f97f0f1-4617-40bd-8264-4d24a9adf20a
T3,ZvPV4nbZEcRLkLXo6H4WfUtq+ng62nYwt198RWYVsqs=,2f97f0f1-4617-40bd-8264-4d24a9adf20a
T4,DCdKMhydan7aKhYQ8KOejRQv+fdq+0r7FFmQBovAYH4=,2f97f0f1-4617-40bd-8264-4d24a9adf20a
T5,YQndSjhCyGwcxaD1AK+Tab+rU0fNt3feqvFRtc/qIYw=,2f97f0f1-4617-40bd-8264-4d24a9adf20a
T1,UDehuSBp6qbyu7qGu2ZVDASg2yIvJqkKtJDllgBOdOY=,794609a2-4f6a-4d04-bb6e-922ea1b25f8d
T2,at3jn477Guhsx28g0ZY2kCcvqSXrZA79n2uqFwpHhfE=,794609a2-4f6a-4d04-bb6e-922ea1b25f8d
T3,b7T0M+tnG65/gsbbFTKI30CA5LRm0j0OlsbrI8bqsVM=,794609a2-4f6a-4d04-bb6e-922ea1b25f8d
T4,yangauchhbSuKGWPFxHjcD1uNqmUBsbUCiXUwqUVW0s=,794609a2-4f6a-4d04-bb6e-922ea1b25f8d
T5,xrseVf1Z5flXgrWqio5KSeTbpfbRXWUOu5rTUAnY/Ac=,794609a2-4f6a-4d04-bb6e-922ea1b25f8d
T1,z/pLUEP1Nz0pwEWxYkiibX8L/e/w+0yipT1pTi86yzM=,423a8d73-9923-4eff-8861-bbac5c8a03a5
T2,XDXUDjoricZXO1ExQEC6LAi91SdzqUxDMvA/QQT0/rM=,423a8d73-9923-4eff-8861-bbac5c8a03a5
T3,hC5hWhIQicoenqEf7N05ycmV8QXQjJ68vscQRxwJuUA=,423a8d73-9923-4eff-8861-bbac5c8a03a5
T4,/okuaUT/LhBCNZ8SCmGJkKTXaQc+4rNaALrDXooODV0=,423a8d73-9923-4eff-8861-bbac5c8a03a5
T5,JVJYLmiZ6ljbEa0/8Ol1QpCBiNAu8UIOgERW+ZTL0cI=,423a8d73-9923-4eff-8861-bbac5c8a03a5
T1,4dOQoYFcNRfkXYh1nm2x5kUKkB8LJz2kKjuD6TjWx9E=,9c536b13-9a26-4ad6-930b-a3d2f5db9ebe
T2,8sRftYQzm1EhxYisgAk52VW9YZFb8mGEIZ6YOb6EUuA=,9c536b13-9a26-4ad6-930b-a3d2f5db9ebe
T3,hcKkdARaG7Cbx5jiSDbwI8P2vwLrvp3KP58FyPLwW4Y=,9c536b13-9a26-4ad6-930b-a3d2f5db9ebe
T4,VZgVv8ezeDMrYp0dEBqSXw4KrjCcThHksy1wOLX4DRE=,9c536b13-9a26-4ad6-930b-a3d2f5db9ebe
T5,0oRSvgrqsgOoR1+azpAK2AwJcgXOmCScwsm8hcAnrp8=,9c536b13-9a26-4ad6-930b-a3d2f5db9ebe
T1,QdIGcErNkjZshOhd4w/f280+blowx7ZupzSPIQTqEic=,48596752-15e5-46e4-9dd2-756ed8ab2c53
T2,hIjgOskH5Fui4D+f0DzLiR7DFtFG1t7ZhpdKIV6dWG8=,48596752-15e5-46e4-9dd2-756ed8ab2c53
T3,qqwBrbgIP9++QdruWgZ9FWkfESwmigQgWD75yS6gwFE=,48596752-15e5-46e4-9dd2-756ed8ab2c53
T4,9OKHQU1g3W502iJhZp88/1I/7DnkidZH4ixXPz2DMU0=,48596752-15e5-46e4-9dd2-756ed8ab2c53
T5,of64SMemvnCIfDNLqsniYI3SduCU0yUKV1PsoZ7+tfw=,48596752-15e5-46e4-9dd2-756ed8ab2c53
T1,WEYNAlT1w621f6iHEhVhA6SP/zeLvhfunjc4zFqqrP4=,310bca23-b6f2-4c1b-a851-859055ceac7c
T2,t4bquafG5w7UIrmYdx8BX35GZQWTg1D8M0JYL1tCM+E=,310bca23-b6f2-4c1b-a851-859055ceac7c
