RuleId,Token,RecordId
T1,EM21PGrMTMDSt/e80RXPYMtxmRnKsgj/G8thO9nejDCUwUKvRSo0VKOfG3f7ROY1UB6ItvDTN2B+DMqq7UJss1n+ytmT5lhV,891dda6c-961f-4154-8541-b48fe18ee620
T2,GfJTF5qSYK5bFv+1TNr53YaBM0rSc+5L6BxYYfbh+O1LuNOtASdLfBfYWy9lD0I4yYECaGfHgevmXVwKaCjMjA+pbEuJrb+0,891dda6c-961f-4154-8541-b48fe18ee620
T3,IqogQ9ajoY2X/083bzxWEApImdvOMPWKHfg2ZdbhFrcxPyN2+KggWowF7Vo7wRnPqCpjxZOn2LyrEaYuYk2J9G8X/VwstCvJ,891dda6c-961f-4154-8541-b48fe18ee620
T4,0000000000000000000000000000000000000000000000000000000000000000,891dda6c-961f-4154-8541-b48fe18ee620
T5,zcOh3HEYAplJVsrW5iscfvbOkPo7iauKW0LGPZOv89Tns5oq1o8vahkg/ibThiN0YYjoVgfRRpV32vA0ft+r+QpuXsyabUXL,891dda6c-961f-4154-8541-b48fe18ee620
T1,u0WMJUc0oAwNLN52in3VQQfV9wnZzTGiE05OkQnwDtVr20ApmGfatpUKDsjPEn0IHAeTFWn8MB8aAp0rMtZlyplOwB+32DW5,2f97f0f1-4617-40bd-8264-4d24a9adf20a
T2,IHZVEeuiZ7LJzLiAnOyd/ROY/4IhmtyG/JGLI1ZXWnn76+r6Fldp0XlLRuOQgfVgZc7GRB4wiPxJ9Txgs1sT47MxrzTT/C4s,2f97f0f1-4617-40bd-8264-4d24a9adf20a
T3,cTzPaCyjL6Gk+b3Zg44vzk3BK1i1F9b15ZNsyWs0Mwz86y3f/dH9KZHpnIIOzDzgUAMzupEeHfbzHEbByrITPyoh3gv9Txuj,2f97f0f1-4617-40bd-8264-4d24a9adf20a
T4,AtTaC2Wrl2XZLodNysGWt8Y3SWA3v3BdCp5yrttG3yhBisNdfHIrJMIFxVf9bNMP7DvAH5bGnkeFXj+jW5DsiMk0edHL9C45,2f97f0f1-4617-40bd-8264-4d24a9adf20a
T5,sK2WZCO5oEYErKXvI6z9axvemqdKCUkI+7sBxt6UkcOGjKR272KV6tg9Jg2ajRdud91H88fWuwULNVhZAedOjLqp5NZ3V4nn,2f97f0f1-4617-40bd-8264-4d24a9adf20a
T1,s2gWhHwSimOxrnwXEaPVcMDK8AS3CS5xsPCErLRyrd4f1BJ/WdcbyluzHnkRXEtVtWByWhTU/YJFwKz0CxjEFtm/N/WFjAty,794609a2-4f6a-4d04-bb6e-922ea1b25f8d
T2,0t+ZaVansI5FYLxfySlToDPA1R8NHxtw9eQFQws8E29Jqx3pqqpT6u0iotejT5iNRy4P/jooVnGxiqitNy8qVmcOtyXOZnGc,794609a2-4f6a-4d04-bb6e-922ea1b25f8d
T3,N3FwKyM4mP3j8Ez5UDb1XOtaQhCQ2qSWLCbZSSncGFzD+y70Ih/we7CYhkjTiHWf9U85Hct8Ieh1wzKWEF6fgbCbhmiJkzYk,794609a2-4f6a-4d04-bb6e-922ea1b25f8d
T4,flw9ihc0ddzgPmAswELDTKu2JjT4GUY4d0iOQbBIGMBKGo80Iu/9hqIhnltjWyfiWQAk/Je+YpEO11QioAsy+uQ7l84eZav+,794609a2-4f6a-4d04-bb6e-922ea1b25f8d
T5,KuuwEt+w4/1D1tkiXqE942HUWO1WREk+t2IQs7wh9+4nPd06mCEuGxA37gvp7QVltOEPL4epuSIzOHlz5rdNiytsNQnou0BJ,794609a2-4f6a-4d04-bb6e-922ea1b25f8d
T1,f9+3pCFJ2/32Ke/cUHhDAlqAFoLuSI6f7EZIP+95UjHMgblrclLKMveUHu3Th0BAP/kLfr1eYbaXU4BZ5kcMH/IjEW2pNg0Z,423a8d73-9923-4eff-8861-bbac5c8a03a5
T2,yuOcFyA7J4/SQA+n8FJdxDFD2czfgOLBGxyvFlIOGkXEaBZtEDoydLGqsPDeMZdwDuNPGNPvlN5z4yzWCjfRN+N+0Z19T8qw,423a8d73-9923-4eff-8861-bbac5c8a03a5
T3,O2soWetHq0mFK+qTE80ormI55aIDbfs/bgttSdU57qLtMO4iJztMoJHntrg6Uakr9VKDOEnDgDtkNPy/uUECVGEdf+ynMVaN,423a8d73-9923-4eff-8861-bbac5c8a03a5
T4,fmUyR5IW7DNl19agFrAlr7KE7lwCMROfHx4jhISOvNDqx93VX2eYBTKqmjbTrc7jxazjroYOqPE26W97k4rvotzuv/8jhfuf,423a8d73-9923-4eff-8861-bbac5c8a03a5
T5,b2qXFcsIrBqn9RY0Pu1VosFaW7lOea1qh+fzaENLBxlC58KfZH9g8NMSiICue4DfMwwZfWyctyrOIseQqm0SNoShtJfmCK+n,423a8d73-9923-4eff-8861-bbac5c8a03a5
T1,Tw6p36xJ1jBLACd24QLBJ98NmyGpScqMrFdbvZOtJqV9DTKBuMhTn7QZjLh/1o6N8ckD/8/mqfUX0y0E3jGNFcu8fRwKQ5Eh,9c536b13-9a26-4ad6-930b-a3d2f5db9ebe
T2,DRSGgOkM7JpMlWY22fhq8WBpnJnVP4vFKZWI2E5YYVfsIqJ7BCovyF223sHKHm/Vxd7lIHYVCCEl43T29NB8Kq4GUvSgH1VF,9c536b13-9a26-4ad6-930b-a3d2f5db9ebe
T3,LzUHG9Wzi+gpuSKz4b2V3Wp0WQghHRXspfqQ6RyYnA3cHH0WABOrymn8T2ejlTxZhZxCbROjXvVLNM6H3T8mMnDgTWyau6T0,9c536b13-9a26-4ad6-930b-a3d2f5db9ebe
T4,AP9eK6zPsiUg5Qs6QsDrNBpqfo81E/6H/KoZNDGbEufkQpfrS3/clswFONgvYh4cYiYa10Uly3ll4Icy7w6j4bK7pgfsRCiC,9c536b13-9a26-4ad6-930b-a3d2f5db9ebe
T5,2nZFbre7mARTHVUVsBWgw6PtcDwdHbu0udeuoqO8tbftKWDY98W4DuH3lmrAVX2G+IcPfzTilZvjzlvWFLm4lrpBAg5u1ooC,9c536b13-9a26-4ad6-930b-a3d2f5db9ebe
T1,gR2sqEsAsoFUKgPobxeb9gnl6MPx3qb68fXwoq0OUAGSx2La6Ue/KxLLFKgZRgO8T3exUbZUD2iOF7rfK5a3HMGkhQjLzmRw,48596752-15e5-46e4-9dd2-756ed8ab2c53
T2,wFifsSx0muEYcUK1rbJ3AChyepUKSXo/7sCqpMRzKnxvem8MKhMr1pef0KxE/Ynq2ZbdN0viM1Gxb8n2QjiD8TyQ92ryq4rG,48596752-15e5-46e4-9dd2-756ed8ab2c53
T3,BB6t3GSk7ZQRkCk8M00fUz1VeyMPShGQh6NNz6MNEeELd7cJYYYPb6xzRFuAA2Lh8BTXGVj4XBPQl5HmR3i1pjMCQ/mhvPuq,48596752-15e5-46e4-9dd2-756ed8ab2c53
T4,Cf88/btWgTeknF7Jy9kCYn2r4ftd+ksJoL+l4r3F11gBjkdMh/dz04UOS2yIVogGQvb9waw0AzhgY5A4iZrqU3lGCDi+y6cL,48596752-15e5-46e4-9dd2-756ed8ab2c53
T5,VYrSdrFWlFocbxLTXd11767e/QYNsIsjbnWouU60cTRgoxJZasz/oQqHlbog8qReev237WCsuPOmYy/CZ/YZCu5hZMzZXZon,48596752-15e5-46e4-9dd2-756ed8ab2c53
T1,briuMC1daS/AnjxppFSTfaH1J3h1d2NFxaNLtjVz1tIld0rEyhQ/JXSmAuK59nLLtp7DuCUidoOuUkEoM329BVpl2dIb9lPk,310bca23-b6f2-4c1b-a851-859055ceac7c
T2,Ra8VeINZCGpZ/VjngXsaNjubWt1kvx2NoG2rfumATynkdOIA2K99zTIr/sOFpXzAOaQTWCKtflYZrB3evU0B4DHLxh1/fmGH,310bca23-b6f2-4c1b-a851-859055ceac7c
T3,1XCVFoxVnXl+NLDTvuYDahcezAxp5pqFrnSENKYu04tQwAMd7FqKHVIyuDxWiVnJbMwakwy/Q7jsqEKasTPuq1Tt7/Sc8prI,310bca23-b6f2-4c1b-a851-859055ceac7c
T4,IlztNXlOs2k+p7T1Wf95xB1ORiKQrmelrzTbSDitGMLkQEyhMHbsQ9570UNudkaIOPxRd0OgGTDFGG+MbnZuj33pTGMUEh3o,310bca23-b6f2-4c1b-a851-859055ceac7c
T5,jwfGI34Cd5QxjonZcKhwCr6xQUKMUxOMKqN4lwkUONt+ovVrC9gDJRQlK1p1TQmlFHJWz+cD69Eq3UIKERw6lm46e2FIiLrN,310bca23-b6f2-4c1b-a851-859055ceac7c
T1,0000000000000000000000000000000000000000000000000000000000000000,e21240f0-274b-46c1-898f-fb2c4f48023c
T2,0000000000000000000000000000000000000000000000000000000000000000,e21240f0-274b-46c1-898f-fb2c4f48023c
T3,0000000000000000000000000000000000000000000000000000000000000000,e21240f0-274b-46c1-898f-fb2c4f48023c
T4,0000000000000000000000000000000000000000000000000000000000000000,e21240f0-274b-46c1-898f-fb2c4f48023c
T5,TJNkhSth47JhOiU8b1xsQ7eC0ikNOiovIUJ/ax6A5M2wFY1tByqrQW053JOIwSiN+6vpTcs77kXb5bF+SAj9GxrHY0W5xS/B,e21240f0-274b-46c1-898f-fb2c4f48023c
T1,eQqu1BWSNyYGRwTST49uPJFzC3MbOQxOvMDaIi41Oz2pBtBwZCaT0FpsYyZ8fya6GiRyUbh1rcLefbZ/jZIQj4F1aFgke0P8,b501dbe3-7c06-4815-bb84-1d136c770bcc
T2,JijySdZkgiNVpYvFq/ADaBzHrNY4iXFvsx6+IWBQOyA3iJ0Qgb5wSjHmoSZFKqutTFoqzHV4qZIqZEvbiYWJ7EEOze7dcO59,b501dbe3-7c06-4815-bb84-1d136c770bcc
T3,wHyHmQoJzcXoeea0aOUMhFrdoCj/t60p2CV6Mc4vpIZ4qjT7D7iid0uv9/pklqtQdWNli34HlMjOXtEDhHk0IDO8FyCfi7Op,b501dbe3-7c06-4815-bb84-1d136c770bcc
T4,ActgXf7FAMmwQkgo8KnhG7on4A9uPwCAW6RVFr8M0pnVuGq0/SjhX2FrCKspntMRTmbFFDpOq/r6ccIFvh2fNtcSXM4pKewN,b501dbe3-7c06-4815-bb84-1d136c770bcc
T5,8EhR+cWPUK9+RU1rPduWE3UkKGtYdJfUYhpJrUcKJr1vhHwJYKUJDUVl1bDKPK+wleRoea9TbU5ZjQ0AYSGWrdrgjAnNDrv/,b501dbe3-7c06-4815-bb84-1d136c770bcc
